ORGAN_CODE,INSTI_NM,YYMM,VAL
4200000,자치단체,2019,"1,016,566,404,201"
4210000,자치단체,2019,"454,207,413,789"
4220000,자치단체,2019,"387,596,312,102"
4230000,자치단체,2019,"439,301,296,958"
4240000,자치단체,2019,"679,892,393,422"
4250000,자치단체,2019,"658,085,064,366"
4260000,자치단체,2019,"534,519,195,160"
4270000,자치단체,2019,"504,299,795,211"
4280000,자치단체,2019,"501,061,179,225"
4290000,자치단체,2019,"519,274,656,169"
4300000,자치단체,2019,"485,949,552,638"
4310000,자치단체,2019,"387,276,519,355"
4320000,자치단체,2019,"413,419,056,882"
